id	title	teacher_prompt	student_prompt	rougeL_score
1701.00142v1	EgoCap: Egocentric Marker-less Motion Capture with Two Fisheye Cameras (Extended Abstract)	A scientific illustration of the EgoCap system: a person wearing a helmet with two fisheye cameras mounted on the front, showing the dual wide-angle fisheye views projected onto a spherical field of view around the user. The left view shows a raw fisheye image of an indoor scene with a person in motion. The right view visualizes the AI processing: a 3D skeletal pose overlay (white wireframe) estimated in real-time from the distorted fisheye imagery, with key body joints highlighted as colored nodes. A diagram inset shows the inside-in camera arrangement converging on the user's body. Clean, technical illustration style with a muted color palette of blues, grays, and accent yellows for data highlights. Sharp focus	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of an egocentric marker-less motion capture system using two fisheye cameras attached to a helmet. The scene shows a split-view composition: on the left, a detailed cutaway of the helmet with the two fisheye lenses, their distorted fisheye viewports overlaid with a semi-transparent wireframe skeleton. On the right, the same skeleton pose is accurately reconstructed in 3D space, with joints highlighted in a cool blue to warm red gradient heatmap indicating activation. The background is a clean, dark gray studio environment with subtle grid lines. The style is a precise, technical 3D scientific illustration with soft, even studio lighting, emphasizing the correct optical geometry and	0.2605
1704.08303v3	Spectral Ergodicity in Deep Learning Architectures via Surrogate Random Matrices	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of spectral ergodicity in random matrix ensembles, showing a large random matrix from the Circular Unitary Ensemble (CUE) with its complex eigenvalue spectrum plotted on the unit circle. Adjacent, a heatmap visualizes the convergence of the Thirumalai-Mountain (TM) and Kullback-Leibler (KL) divergence metrics as matrix size increases, with a curve showing rising spectral ergodicity. The style is a clean, technical scientific illustration with a cool color palette of deep blues, purples, and teals, using precise linework, mathematical notation for eigenvalues λ, and subtle glowing highlights on converging spectral data points. The composition	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of spectral ergodicity in deep learning architectures, showing a large, complex network of interconnected nodes with flowing data streams, overlaid with a translucent, multi-colored heatmap representing the eigenvalue spectrum of a surrogate random matrix ensemble (CUE, COE, CSE). The heatmap transitions from cool blue (low spectral ergodicity) to warm red (high spectral ergodicity) as the network size increases, with mathematical notation for Thirumalai-Mountain (TM) and Kullbach-Leibler (KL) divergence metrics subtly integrated into the background. Clean, academic illustration style with precise linework, soft directional lighting, and a dark blue and gray color palette with strategic red accents.	0.3662
1709.07172v3	SpectralLeader: Online Spectral Learning for Single Topic Models	"A4 portrait format, 1:sqrt(2) aspect ratio. A clean, modern scientific diagram illustrating the online spectral learning algorithm ""SpectralLeader"" for single topic models. The scene is split into two conceptual flows. On the left, a continuous stream of discrete data points (represented as small, colored cubes or tokens) flows into the algorithm. In the center, a dynamic, translucent 3D matrix or tensor factorization is visualized, with converging spectral components shown as evolving, orthogonal vectors of light (blue, green, orange) emerging from the data stream. On the right, the output is a stable, global optimum represented as a clear, low-dimensional simplex or a set of basis vectors, contrasted with a faint, irregular local optimum"	A4 portrait format, scientific visualization of online spectral learning for single topic models, a dynamic stream of text documents flowing into a central latent variable model, with spectral leader algorithm visualized as a converging golden path of optimization, data points represented as colored word clouds, latent topics shown as structured geometric shapes (spheres, cubes) with probabilistic connections, mathematical notation for spectral leader update equations floating in the background, clean academic illustration style with precise linework and subtle gradients, split-view composition showing both the online data stream and the converging spectral leader path, cool analytical color palette of blues, grays, and gold accents	0.2569
1604.01686v5	Relationship between Variants of One-Class Nearest Neighbours and Creating their Accurate Ensembles	A4 portrait format, scientific visualization of one-class nearest neighbor classification: a central target class cluster of blue data points with varying densities, surrounded by a decision boundary formed by nearest neighbor distances shown as translucent spheres, with outlier detection visualized as red points outside the boundary where neighbor distances exceed the inter-quartile range threshold. Ensemble methods depicted as multiple overlapping random subspaces and random projections shown as rotated coordinate grids in semi-transparent gray, with accuracy metrics improving as projections increase. Clean, minimalist information visualization style with precise geometric forms, soft gradient lighting, and a color palette of scientific blues, grays, and accent reds, using an elevated 3/4 perspective to show both data distribution and algorithmic structure simultaneously.	A4 portrait format, scientific visualization of one-class nearest neighbor (OCNN) ensemble classification, showing a high-dimensional data cloud with a single target class cluster, a random projection matrix transforming the data into a lower-dimensional subspace, and multiple OCNN classifiers with different neighbor radii and thresholds creating a protective boundary around the target cluster, with ensemble predictions visualized as overlapping confidence regions, clean vector illustration style with precise linework and subtle gradients, cool blue and gray color palette with accent colors for different ensemble methods, split-view composition showing both the original high-dimensional space and the transformed subspace, accurate representation of statistical concepts and ensemble diversity.	0.3057
1707.07673v1	Evaluation of Semantic Web Technologies for Storing Computable Definitions of Electronic Health Records Phenotyping Algorithms	"A detailed scientific illustration in portrait A4 format (1:sqrt(2) aspect ratio) showing a conceptual data flow from heterogeneous Electronic Health Record sources to a structured, computable phenotyping algorithm. On the left, a stylized database icon releases streams of structured data (blue cubes), semi-structured data (orange JSON-like brackets), and unstructured clinical notes (gray text blocks). These streams converge into a central processing node labeled ""Phenotyping Logic"". From this node, two distinct, structured output pathways emerge: one transforms into a clean, interconnected graph network of Resource Description Framework triples (subject-predicate-object nodes connected by arrows), and the other organizes into a formal, nested Web Ontology Language class hierarchy with defined properties. The background"	A4 portrait format, scientific visualization of a computable phenotyping algorithm for electronic health records, showing a structured data flow from unstructured clinical text documents into a standardized, formal ontology representation, with nodes and edges visualizing the algorithm's logic and data dependencies, using a cool color palette of blues and grays with accent colors for data types, clean infographic style with precise line work and minimalistic aesthetic, split-view composition showing the algorithm's architecture on the left and its application to a sample patient record on the right, with data streams and connections clearly labeled with semantic web terminology (OWL, RDF, RDFS)	0.2009
1503.07490v2	Sensitivity Analysis for additive STDP rule	Cross-section of biological neuron synapse showing additive STDP rule dynamics, pre- and post-synaptic spikes represented as precise electrical pulses along axons, synaptic weight evolution visualized as fluctuating bar graph or 3D surface plot next to synapse, slight timing jitter depicted as blurred or probabilistic zones around spike waveforms, monochromatic blue and gray color palette with accent red for critical variability, clean scientific diagram style with labeled axes for time and weight, split composition showing precise timing vs. variable timing scenarios, A4 portrait format, 1:sqrt(2) aspect ratio	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of the additive Spike Timing Dependent Plasticity (additive STDP) rule, showing a detailed neural network circuit with two interconnected excitatory neurons. The synaptic connection between them is highlighted with a glowing, translucent membrane. A precise, single input spike (depicted as a sharp, vertical blue pulse) arrives at the presynaptic neuron, triggering a precise, single output spike (depicted as a sharp, vertical orange pulse) at the postsynaptic neuron. The timing difference between the two spikes is visualized as a subtle, shimmering gradient field around the connection, with a cool blue-to-warm orange color gradient indicating the additive synaptic weight update. The background is a dark, clean	0.1456
1508.03928v1	LCNN: Low-level Feature Embedded CNN for Salient Object Detection	A4 portrait format, 1:sqrt(2) aspect ratio. A cross-section diagram of a deep convolutional neural network architecture, with the initial layers extracting low-level features like edges and contrast shown as blue and green data streams, merging with deeper layers extracting high-level semantic features shown as orange and red streams. The combined feature vector feeds into a hinge-loss SVM classifier visualized as a geometric plane separating salient and non-salient regions. The final output is a precise saliency heatmap overlaid on a complex natural image, with high activation in red. Clean, technical illustration style with labeled layers, data flow arrows, and a cool-to-warm color gradient, rendered with sharp lines and a white background.	A4 portrait format, scientific visualization of a deep neural network architecture for salient object detection, showing a convolutional neural network with multiple convolutional and pooling layers, a low-level feature extraction module with contrast and spatial information maps, and a hinge-loss SVM detector with weight vectors, all connected by data flow arrows, visualized as a clean and organized diagram with a blue and gray color palette, precise line work, and subtle gradients indicating activation levels, academic illustration style with a split-view composition showing both the network architecture and the resulting saliency map overlay on a complex image, with a focus on clarity and technical accuracy.	0.3097
1506.05187v1	Robust High Quality Image Guided Depth Upsampling	A cross-section visualization of depth map upsampling optimization, showing a low-resolution noisy Time-of-Flight depth map on the left, a high-resolution companion color image in the center, and the resulting high-resolution depth map on the right after processing through a novel optimization framework, with data term and smoothness term illustrated as mathematical operators transforming the data flow, texture copy artifacts and blurring at depth discontinuities are visibly corrected, clean sharp edges are restored, arrows and flow lines indicate the guided upsampling process from low to high resolution, using a cool color palette of blues and grays for depth data and accurate colors for the RGB guide image, in a clean technical illustration style suitable for a computer vision conference, with a clear before-and-after comparison	A4 portrait format, scientific visualization of robust image-guided depth upsampling: a low-resolution noisy depth map (grayscale with speckle noise) being upsampled to a high-resolution depth map (colored heatmap with sharp depth discontinuities), with a high-resolution color image (RGB texture) serving as the guidance, showing the optimization framework with data and smoothness terms visualized as mathematical constraints, clean and precise academic illustration style with a cool color palette (blues, grays, and accent yellows for data flow), split-view composition with the input depth map on the left and the output depth map on the right, connected by the guidance image and the optimization framework diagram in the center, sharp focus on the depth map edges and texture details, no decorative elements.	0.3216
1709.09426v1	Leveraging Weakly Annotated Data for Fashion Image Retrieval and Label Prediction	A highly detailed scientific visualization of a deep convolutional neural network processing a grid of diverse e-commerce fashion product images, with weakly annotated text tags (like 'red dress', 'striped shirt') floating as semi-transparent overlays, illustrating noisy data ingestion. The network architecture is shown in a clean, layered cutaway view, with feature maps highlighting learned visual patterns for texture, shape, and color. A central pathway branches into two clear outputs: one leading to a ranked image retrieval results column and the other to a multi-level hierarchical label prediction tree (e.g., 'Apparel' -> 'Top' -> 'T-Shirt'). Style is a clean, modern 3D scientific illustration with a muted professional color palette of blues, grays,	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a deep neural network architecture for fashion image retrieval, showing a convolutional neural network (CNN) with multiple convolutional and pooling layers, followed by fully connected layers, processing a grid of fashion images. The network's feature maps are visualized as colored activation patterns, with warm reds and oranges indicating high feature importance for clothing categories, and cool blues indicating background and texture features. The output layer shows a probability distribution over fine-grained clothing categories, with bars representing predicted class probabilities. The style is a clean, technical illustration with precise line work, a muted color palette of blues, grays, and accent colors, and subtle directional lighting to create depth and hierarchy. The composition is a	0.325
1407.7317v1	A unified framework for thermal face recognition	A unified thermal face recognition framework: a 3D facial mesh model with overlaid thermal heatmap texture, showing simultaneous variations in pose (profile to frontal), expression (neutral to smiling), physiological state (cooler nasal region), partial occlusion from transparent eyeglass frames, and quasi-occlusion from stubble facial hair, all visualized on a single multi-panel figure, color gradient from deep blue (cold) to bright white (hot), clean scientific diagram style with precise labels, split-screen composition comparing raw thermal input to the normalized unified output, A4 portrait format, 1:sqrt(2) aspect ratio	A unified framework for thermal face recognition, showing a thermal infrared image of a human face with overlaid neural network architecture, connections between nodes mimicking thermal patterns, nuisance factors like pose, expression, and occlusion visualized as semi-transparent colored overlays, scientific visualization style with precise technical rendering, split-view composition showing both raw thermal data and processed recognition output, cool monochromatic thermal palette with subtle color coding for different nuisance factors, A4 portrait format with 1:sqrt(2) aspect ratio, sharp focus on the face and network connections, no decorative elements	0.3516
1707.04781v1	Modified Alpha-Rooting Color Image Enhancement Method On The Two-Side 2-D Quaternion Discrete Fourier Transform And The 2-D Discrete Fourier Transform	A detailed scientific illustration of a color image enhancement process comparing two methods: On the left, a channel-by-channel 2-D Discrete Fourier Transform (DFT) approach showing separate red, green, and blue frequency domain representations with disjoint enhancement. On the right, a unified quaternion-based 2-D Quaternion Discrete Fourier Transform (QDFT) approach depicting a single hypercomplex frequency domain sphere with intertwined color components. Arrows visualize the modified alpha-rooting operation as a spectral magnitude adjustment. A central color image splits, processes through each pipeline, and recombines, with the QDFT output showing more vibrant and genuine color fidelity. Use a clean, technical illustration style with a blue, gray, and spectral color palette, sharp lines,	A4 portrait format, scientific visualization of the modified alpha-rooting color image enhancement method, showing a 2D quaternion discrete Fourier transform (2D QDFT) matrix overlaid on a color image, with the quaternion components (R, I, J, K) represented as distinct, interwoven spectral bands, the enhancement process visualized as a flow of golden energy streams transforming the original color image into a more vibrant, authentic representation, using a cool blue to warm red gradient for the quaternion components and a neutral gray background, rendered in a clean, precise academic illustration style with sharp edges and subtle volumetric lighting, split-view composition showing the original color image on the left and the enhanced quaternion-based output on the right, with mathematical notation for the 2D QDFT and CEME measure estimation subtly integrated into the background.	0.25
0901.0065v1	Exact Histogram Specification Optimized for Structural Similarity	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific visualization of Exact Histogram Specification optimized for Structural Similarity. On the left, a generic EHS output image with visible pixelation and quality degradation. On the right, the proposed optimized output after SSIM gradient ascent, showing a perceptually enhanced, high-quality image with preserved structural details. Between them, a central panel displays the exact specified histogram as a precise, identical bar chart for both methods, emphasizing the constraint. The SSIM optimization process is visualized as a gradient flow field overlaid on the image plane, with arrows indicating the path of pixel intensity adjustments maximizing structural similarity. A subtle heatmap overlay on the right image indicates regions of high structural preservation	A4 portrait format, scientific visualization of an image histogram being optimized for structural similarity, showing a grayscale input image on the left with a distorted histogram bar chart, and the same image on the right with a perfectly specified histogram bar chart, connected by a gradient field of blue-to-red colors representing the SSIM optimization process, with mathematical notation for the SSIM gradient formula floating in the background, clean and precise academic illustration style with sharp edges and subtle volumetric lighting, split-view composition with a clear visual flow from left to right	0.3163
1301.7418v1	Flexible and Approximate Computation through State-Space Reduction	A conceptual diagram showing state-space reduction for flexible and approximate computation, featuring a complex branching decision tree on the left being systematically pruned and simplified into a streamlined, optimal path on the right, with computation resources visualized as a blue energy flow dynamically allocated to critical branches, using a clean scientific illustration style with a monochromatic blue and gray color palette enhanced by strategic gold highlights on key nodes and the final solution path, sharp technical lighting, viewed from a dynamic three-quarter perspective that conveys progression, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a state-space reduction algorithm for flexible and approximate computation. The core concept shows a complex, multi-layered state space graph with nodes and edges, being progressively simplified and reduced in size by two distinct methods: a quantitative reduction method visualized as a blue, translucent filter overlaying the graph, and a structural reduction method shown as a red, geometric mesh cutting through the graph's structure. The reduction process is depicted as a dynamic, converging flow of golden particles and energy streams, with solution quality improving as the graph shrinks. The style is a clean, modern 3D scientific illustration with precise line work, a muted color palette of blues, grays, and accent reds, and soft directional lighting to create depth and clarity.	0.2522
1511.02386v2	Hierarchical Variational Models	A cross-section visualization of a hierarchical variational model, showing a base variational distribution (Gaussian cloud) with a hierarchical prior distribution (larger, translucent probability surface) governing its parameters, connected by probabilistic arrows indicating the flow of variational parameters, with the true complex posterior distribution (multicolored, non-Gaussian manifold) in the background for comparison, using a cool color palette of blues and purples for the variational family with warm orange accents for the data influence, clean 3D scientific illustration style with soft volumetric lighting and subtle transparency effects, central composition with the hierarchical structure expanding outward, viewed from a slightly elevated perspective to show depth and relationships between distributions, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a Hierarchical Variational Model (HVM) for deep discrete latent variable models. A central, complex variational distribution is depicted as a multi-layered, translucent 3D manifold with intricate, swirling internal structure. This manifold is being augmented by a prior distribution, visualized as a coherent, structured field of golden light and probabilistic contours enveloping the variational distribution. The latent variables are represented as discrete, colored data points (blue, green, orange) embedded within the manifold's structure. The algorithm's black-box nature is suggested by a subtle, semi-transparent overlay of abstract, geometric connections. The style is a precise, clean academic illustration with a cool color palette (blues, grays, gold	0.2213
1609.05959v1	Conformalized Kernel Ridge Regression	A4 portrait format, 1:sqrt(2) aspect ratio. A clean, academic scientific illustration showing the core concept of conformalized kernel ridge regression. On the left, a 3D surface plot of a kernel ridge regression model fitting scattered data points in a feature space, with a smooth prediction surface. On the right, a detailed visualization of the conformal prediction process: a new test point is shown, surrounded by a translucent, non-parametric confidence region constructed from the conformity scores of calibration data points, which are depicted as faint halos or bands around the regression surface. The confidence region adjusts its size based on local density, ensuring the specified coverage rate. Use a cool, professional color palette of deep blues for the data space	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a conformalized kernel ridge regression model for anomaly detection. A 3D scatter plot of high-dimensional data points in a blue-to-purple gradient, with a translucent, conformal prediction region enveloping the data cloud in a warm orange-to-red gradient. The kernel matrix is visualized as a glowing, interconnected web of golden lines connecting data points. A clean, minimalist academic illustration style with precise line work and subtle volumetric lighting. The composition is a split-view: the left side shows the raw data points and the conformal prediction region, while the right side shows a magnified, detailed view of the kernel matrix connections.	0.346
1803.01457v1	Less Is More: Picking Informative Frames for Video Captioning	A4 portrait format, scientific visualization of a reinforcement learning-based frame selection process for video captioning, showing a neural network architecture with encoder-decoder framework analyzing a video sequence, informative frames being highlighted with bright borders and selected into a compact subset on the right, redundant frames appearing faded, visual diversity represented by varied scene content in selected frames, textual discrepancy minimization shown as accurate caption text generation below the frame subset, reinforcement learning reward signals visualized as golden arrows pointing to selected frames, clean academic illustration style with a blue and gray color palette, split-view composition showing the full video sequence on the left and the selected informative subset on the right, technical schematic with labeled components including Encoder, Decoder, PickNet, and reward module	A4 portrait format, scientific visualization of a reinforcement learning network for video captioning, showing a sequential frame selection process, a central Encoder-Decoder neural network architecture with attention mechanisms, a timeline of video frames with selected frames highlighted in warm orange and rejected frames in cool blue, visual diversity metrics visualized as branching data streams, textual discrepancy metrics shown as converging sentence embeddings, clean academic illustration style with precise line work and subtle gradients, split-view composition showing the network architecture and the selected frame subset side-by-side, technical and precise visualization with no decorative elements.	0.4215
