id	prompt#0	prompt#1
1306.2727v1	A sparse representation diagram showing a reference image patch decomposed into a set of overcomplete basis vectors (learned dictionary atoms), with a distorted version of the same patch below, highlighting missing or altered sparse coefficients. The basis vectors resemble Gabor-like filters, mimicking cortical cell receptive fields. A clean, technical illustration style with a muted color palette of blues, grays, and a single accent color for active coefficients. Side-by-side composition in portrait orientation, with mathematical notation for sparse coding equations. A4 format, portrait orientation, 1:sqrt(2) aspect ratio.	A scientific illustration showing the core concept of sparse representation for image quality assessment: a reference image patch on the left decomposing into a set of basis vectors (oriented Gabor-like filters) via sparse coding, with only a few active vectors highlighted in warm colors (orange, red) against a cool gray background. A distorted version of the same patch on the right shows a disrupted, less sparse activation pattern. A central diagram overlays these activation patterns, comparing them to idealized receptive fields of simple cells in the primary visual cortex, depicted as oriented elliptical filters. Clean, technical illustration style with precise linework, subtle gradients, and a clear visual flow from reference to distortion to cortical comparison. A4 portrait format, 1:sqrt(2)
1803.00952v1	A detailed scientific illustration in portrait A4 format (1:sqrt(2) aspect ratio), depicting the core concept of optimizing a pre-trained gradient-boosted tree model under risk and composition constraints. The scene is split into two main panels. The left panel shows a high-dimensional chemical data cloud with sparse, noisy points, feeding into an ensemble of stylized, interconnected decision trees with gradient-boosting connections visualized as glowing arrows between trees. The right panel shows a mathematical optimization landscape: the learned tree function forms a complex, multi-faceted surface; a branch-and-bound algorithm's search tree is overlaid on it, with nodes being pruned; risk control is visualized as a translucent, constraining mesh enveloping the surface, and composition constraints appear	A detailed scientific illustration in portrait A4 format (1:sqrt(2) aspect ratio) showing a central, intricate gradient-boosted regression tree ensemble with multiple decision trees, their branches and leaf nodes representing catalyst behavior predictions from sparse, high-dimensional chemical data. The ensemble is embedded within a large-scale mixed-integer quadratic optimization framework, visualized as a structured grid or mathematical surface. Risk control is depicted as translucent, protective barrier-like penalty functions enveloping the tree structures, while composition constraints are shown as precise, geometric penalty boundaries. A branch-and-bound algorithm explores the solution space, illustrated as a search tree with pruned and active branches, overlaying the optimization landscape. The style is a clean, modern academic schematic with a technical color palette of
0906.3722v1	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a breast ultrasound image being processed by a two-dimensional autoregressive-moving average (ARMA) model for tumor classification. The left panel shows the original grayscale ultrasound scan with subtle textural variations. The central panel visualizes the ARMA random field model as a translucent, grid-like mathematical surface overlaid on the tissue, with model parameters and Yule-Walker Least-Squares estimates displayed as annotated equations. The right panel shows the final k-means segmentation map: healthy tissue in cool blue, benign tumor in stable green, and cancerous tumor in alert red, with clear, distinct boundaries. Clean, academic illustration style with precise linework, a muted	A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific visualization of a breast ultrasound image being processed by a two-dimensional ARMA model for tumor classification. The left panel shows the original grayscale ultrasound scan with subtle textural variations. The central panel visualizes the image as a 2D ARMA random field, represented by a precise mathematical grid of autoregressive and moving average coefficients overlaid as a semi-transparent lattice, with estimated parameters displayed as floating labels. The right panel shows the final k-means segmentation map, clearly delineating three distinct regions: healthy tissue in cool blue, benign tumor in stable yellow, and cancerous tumor in alert red, with sharp, clean boundaries. The style is a clean,
1709.02940v1	A high-dimensional face embedding space visualized as a dark cosmos, a central cluster of 100K identity points glowing with unique colors, splitting into distinct subspaces shown as transparent geometric regions containing only similar-colored points, hard triplets visualized as three connected points forming a bright triangle with one distant anchor, a batch sampling process shown as a focused beam of light selecting a subspace, clean digital illustration style with a dark blue and purple color palette accented by bright cyan and magenta data points, scientific diagram aesthetic, A4 portrait format, 1:sqrt(2) aspect ratio	"A highly detailed scientific illustration in a portrait A4 format (1:sqrt(2) aspect ratio), depicting the core concept of triplet network training with subspace learning for face recognition. The scene shows a high-dimensional embedding space, visualized as a dark blue cosmic void. Within it, a large, complex cluster representing ""100K Identities"" is intelligently partitioned into several distinct, smaller subspaces, each glowing with a unique color (amber, cyan, magenta). Inside one amber subspace, a triplet is actively training: three nodes (anchor, positive, negative) are connected by glowing lines, with the hard negative mining process emphasized by a focused, beam-like light and a repulsive force field pushing the negative example away. The overall style is a"
1303.3067v1	A 3D grid of interconnected memristive devices, visualized as a double-layered neural network with synaptic connections, processing the motion of a moving edge represented as a wave of electrical potential. The top layer (OPL) shows on-center transient responses as warm orange pulses, the bottom layer (IPL) shows off-center responses as cool blue pulses, with converging pathways estimating speed and direction vectors. Clean, technical illustration style with a dark background, metallic device textures, and precise glowing connections. Isometric cutaway view showing internal grid structure. A4 portrait format, 1:sqrt(2) aspect ratio.	A 3D grid of interconnected memristive devices, visualized as a double-layered neural network with synaptic connections, processing motion vectors from a moving edge stimulus. The top layer represents the Outer Plexiform Layer (OPL) with horizontal cell connections, the bottom layer represents the Inner Plexiform Layer (IPL) with bipolar and amacrine cell connections. Electrical activity is shown as glowing pulses of light along the conductive pathways, with on-center responses in warm orange and off-center responses in cool cyan. The motion of a dark bar across a light background is computed, resulting in a vector field overlay indicating speed and direction. Clean, technical illustration style with a dark background, isometric cutaway view to show internal 3D grid
1512.05702v2	A continuous-time dynamical system vector field visualized as a flowing, three-dimensional manifold in a state space, with a recurrent neural network architecture overlaid as a translucent, interconnected web of nodes and edges, the network's hidden state trajectory converging precisely onto the system's attractor, depicted in a cool blue and silver color palette with warm orange accents for key data flows, rendered in a clean, technical 3D illustration style with subtle volumetric lighting, portrait composition for an A4 format (1:sqrt(2) aspect ratio), showing a conceptual split between the mathematical phase space and the artificial neural network structure	A continuous-time dynamical system vector field visualized as a flowing, colored manifold, with a recurrent neural network architecture superimposed as a graph of interconnected nodes, the network's hidden state trajectory converging precisely with the system's attractor, backpropagation gradients depicted as faint, shimmering light paths across the graph, deep blue and purple for the dynamical system, warm amber and gold for the neural network activations, clean 3D scientific visualization style with subtle volumetric lighting, a split composition showing the transformation from feedforward to recurrent network via matrix operations on the right, A4 portrait format, 1:sqrt(2) aspect ratio, highly detailed and technically accurate.
1408.6032v1	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific illustration of a Bayesian network progression model for cancer genetics, showing three distinct branching pathways of accumulating genetic events (point mutations and copy number variations) as colored nodes connected by causal arrows. The major pathways are depicted with thicker, more prominent connections, while a minor pathway is shown with finer lines. Biological noise is visualized as a subtle, translucent haze of stochastic particles surrounding the logical connections, with some particles deviating from the primary causal flow. The nodes are colored in a cool-to-warm gradient (blue to red) to indicate progression stages, overlaid on a faint, schematic background of prostate tissue cells. Clean, minimalist academic illustration style with precise linework, soft	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific illustration of a Bayesian network progression model for cancer genetics, showing three distinct causal pathways through accumulating genetic events. The network is visualized as a directed acyclic graph with nodes representing somatic mutations and copy number variations, connected by solid causal arrows. Biological noise is depicted as a faint, translucent haze of stochastic particles surrounding the nodes and edges. One major pathway glows with a warm orange-red gradient, another with a cool blue gradient, and a novel minor pathway with a muted amber glow, representing androgen-driven and non-androgen-driven progressions. The style is a clean, modern academic diagram with a white background, sharp lines, and subtle depth. The perspective is a top
0712.0836v1	A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific visualization of a hexagonal cellular automaton grid with three distinct cell states, showing the evolution of mobile localizations (gliders) over time. The image depicts a close-up section of the automaton with a glider pattern moving diagonally across the grid, leaving a wake of changed states. The three states are represented by distinct, non-decorative colors (e.g., deep blue, neutral gray, vibrant orange) for clear differentiation. The visualization employs a quasi-chemical interpretation, with subtle particle flow lines or concentration gradients around the glider to suggest limited diffusion of one reagent. The style is a clean, precise academic illustration with sharp edges on the hexag	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific illustration of a hexagonal cellular automaton grid in a quasi-chemical reaction-diffusion system. The grid shows a stable, coherent glider (mobile localization) composed of three distinct cell-states, colored red, blue, and yellow, moving diagonally across the field. The glider's propagation is visualized with a subtle motion blur trail. The background grid cells display a reaction-diffusion pattern with limited diffusion of one reagent, shown as a gradient field. The perspective is a top-down, detailed view with clean lines and a muted, academic color palette of grays, blues, and earth tones. The style is a precise, technical diagram with labeled axes for time
1508.03040v6	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific illustration of the evolution of human cognition towards Turing completeness, depicted as a branching evolutionary tree. The left branch shows animal communication with simple, discrete symbols floating in a sparse network. The central trunk ascends to a human brain, with a protolanguage stage represented by a denser cloud of interconnected word symbols. The final stage at the crown shows a fully recursive syntactic structure, visualized as a complex, self-embedding fractal tree of symbols, glowing with computational potential. A subtle, ethereal Turing machine tape with binary symbols weaves through the fractal, connecting language to computation. Clean, academic illustration style with a muted color palette of deep blues, grays, and	A4 portrait format, scientific illustration showing the evolutionary progression from protolanguage to Turing completeness, depicting a timeline from left to right with distinct stages: early hominid communication using isolated word symbols, transition to structured syntax with recursive tree diagrams, culminating in a human brain schematic overlaid with a Turing machine tape and universal state transition table, visual metaphor of problem-solving as complex branching pathways being generated by recursive syntax, monochromatic base with strategic use of color to highlight computational elements (golden halos on recursive nodes, blue data streams on the tape), clean lines and precise technical drawing style, cross-sectional view blending biological and computational representations, emphasis on the causal link between syntactic recursion and the emergence of universal problem-solving capacity.
1707.09067v1	"A detailed scientific illustration in a portrait A4 format (1:sqrt(2) aspect ratio), showing a side-by-side comparison of sequence-to-sequence models for sentence correction. On the left, a character-based model architecture with a dense, fine-grained lattice of connections, processing a stream of individual letters. In the center, a word-based model with chunkier, discrete token blocks. On the right, a subword convolutional model with overlapping filter windows. A central ""diff"" pathway, visualized as a clean, minimal overlay of green (additions) and red (deletions) highlights, transforms a flawed input sentence into a corrected output. The style is a clean, modern academic diagram with a muted color palette of blues, grays,"	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating a sequence-to-sequence model for sentence correction, showing a character-based encoder-decoder architecture. The input is a flawed sentence, represented as a sequence of individual characters flowing into a neural network encoder. The output is a corrected sentence, represented as a series of diffs (insertions in green, deletions in red) applied to the original sequence. The model's internal layers are visualized as translucent, interconnected nodes with activation pathways highlighted in a cool blue to warm orange gradient. A side-by-side comparison shows a simpler, more effective character-based model outperforming a more complex word-based and a convolutional subword model. Clean, minimalist academic illustration style with precise lines
1710.11277v2	A conceptual diagram of an adversarial advantage actor-critic (Adversarial A2C) model for dialogue policy learning, showing a central dialogue agent neural network interacting with a user simulator, its policy output evaluated by a dual-critic system: a traditional value critic and a GAN-inspired discriminator critic that compares agent actions to an expert policy's actions, with exploration pathways highlighted in regions where the agent's action distribution overlaps with the expert's, visualized as a translucent, high-dimensional manifold in a state-action space with a blue-to-purple gradient, using a clean, abstract 3D scientific visualization style with precise vector lines and soft lighting, arranged in a balanced, layered composition with the dialogue interaction on the left and the adversarial learning mechanics on the	"A conceptual diagram of an adversarial advantage actor-critic (Adversarial A2C) model for dialogue policy learning, showing a split composition. Left side: a dialogue agent's neural network architecture (actor-critic) with policy and value function outputs, processing a user query ""book movie tickets"". Right side: a GAN-style discriminator network, receiving inputs from both the agent and an expert policy, outputting a classification score. Central visualization shows the agent's exploration in state-action space as a gradient field, with regions of high expert similarity highlighted in warm colors (orange/red) and low similarity in cool colors (blue). Thin, glowing lines represent the adversarial training signal flowing from the discriminator back to the actor-critic model."
cs/0007032v1	A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual visualization of a tree-like space as a semantic model for bimodal logic, showing a branching, fractal-like tree structure composed of translucent, interconnected nodes and edges. One set of nodes and pathways glows with a warm amber light representing the modality of knowledge, while a second, interwoven set glows with a cool blue light representing the modality of non-deterministic time/effort. The structure is viewed from a low-angle perspective, receding into a deep, dark background. The style is a clean, precise 3D scientific illustration with sharp edges, subtle volumetric lighting, and a monochromatic base with the two colored light systems providing clear visual distinction.	A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual visualization of a tree-like space for epistemic-temporal logic, showing a branching tree structure where each node represents a possible world state. The branches are composed of translucent, overlapping planes in shades of cool blue and gray, representing the flow of non-deterministic time. At each node, a glowing, intricate golden lattice or web symbolizes the knowledge state and its internal logical structure. A single path through the tree is highlighted with a soft white light, indicating a specific history, while faint, ethereal connections between knowledge lattices on different branches illustrate the canonical completeness relation. Clean, minimalist 3D rendering with precise edges, soft directional lighting from above creating subtle shadows, academic
1109.6838v1	Aerial view of a distributed multi-agent system for air traffic control, visualized as a glowing network of interconnected intelligent nodes overlaid on a real-time map of aircraft trajectories over a continent, with human air traffic controllers in a modern control room monitoring large holographic displays showing agent negotiations and safety buffers, a split composition showing both the macroscopic airspace network and a focused human-in-the-loop workstation, clean 3D scientific visualization style with a cool, trustworthy blue and green color palette, soft ambient lighting with highlights on data streams, A4 portrait format, 1:sqrt(2) aspect ratio.	Aerial view of a distributed multi-agent system for air traffic control, showing a network of intelligent software agents as interconnected glowing nodes overlaid on a real-time map of flight paths above a continent, with human air traffic controllers in a modern control room monitoring large holographic displays showing agent-suggested safe separation buffers around aircraft icons, the scene rendered in a clean, technical illustration style with a cool blue and green color palette emphasizing safety and clarity, soft ambient lighting on the human operators contrasting with the precise digital glow of the agent network, composition showing a balanced split between the high-altitude strategic agent view and the ground-level human-in-the-loop monitoring perspective, A4 portrait format, 1:sqrt(2) aspect ratio.
1611.08194v1	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of match kernel interference in image retrieval. A central, abstract 3D vector representation of an aggregated image descriptor, composed of many colored local descriptor points. Unrelated descriptor pairs from two different images are incorrectly contributing high matching scores, visualized as thick, bright interference lines crossing the space. These interference lines are being suppressed by a democratization strategy, shown as modulating weights (transparent spheres of varying size) applied to each descriptor point, equalizing their contributions. The background shows a faint, grid-like kernel similarity matrix. Clean, technical illustration style with a cool color palette of blues and purples for vectors, with warm yellow and orange highlights for the interference and suppression	"A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of match kernel interference in image retrieval. A central, abstract image representation vector is shown as a vertical column of aggregated local descriptors, visualized as colored geometric shapes (cubes, spheres, pyramids) in shades of blue and gray. From the left and right, two sets of query and database image descriptors, depicted as smaller, distinct shapes in warm orange and cool green, project matching scores as dotted lines or energy streams towards the central vector. Interference is visualized as faint, semi-transparent lines connecting unrelated descriptors from the two sets, cluttering the space and creating visual noise. A ""democratisation"" strategy is shown applying per-descriptor weighting, visualized"
